name,level,province,city,address,heat,introduction,price,sales,image,info,comment
什川梨园,4A景区,甘肃省,兰州市,兰州市皋兰县滨河路与中国农民第一桥交叉路口北侧,0.7,春赏梨花，秋收梨子,9,12,https://imgs.qunarzz.com/sight/p20/201211/04/0eabbff19a15de6b93835fbb.jpg_280x200_d78dc6b3.jpg,具体营业状态以当天开放情况为准,用户未点评，系统默认好评。
石佛沟,4A景区,甘肃省,兰州市,兰州市七里河区阿干镇东南部岘口子山石佛沟5号,0.7,群山连绵、绿屏如障,5,49,https://imgs.qunarzz.com/sight/p80/201211/04/6eff3a00fbe44daf93835fbb.jpg_280x200_35e10270.jpg,1/1-12/31；周一至周日；08:00-18:00开园,用户未点评，系统默认好评。
吐鲁沟国家森林公园,4A景区,甘肃省,兰州市,兰州市永登县连城兰州吐鲁沟国家森林公园,0.72,兰州周边郊游放松的好去处,45,91,https://imgs.qunarzz.com/sight/p0/201402/11/ae191bc4b401545bde43097387219bcc.jpg_280x200_ff5cc914.jpg,1/1-12/31；周一至周日；08:30-17:30开园,用户未点评，系统默认好评。
仁寿山公园,4A景区,甘肃省,兰州市,兰州市安宁区安宁堡,0.7,绿树成荫、风景秀丽,3,44,https://imgs.qunarzz.com/sight/p33/201211/00/97abe43b22b52b8b93835fbb.jpg_280x200_3d3882c7.jpg,1/1-12/31；周一至周日；全天开放,用户未点评，系统默认好评。
水车博览园,4A景区,甘肃省,兰州市,兰州市城关区南滨河东路524号,0.84,汇集了全国各地的各种水车,9,91,https://imgs.qunarzz.com/sight/p0/201403/07/eeaf058482fda562480a624deb424318.jpg_280x200_c83a2bb8.jpg,"11月下旬-次年3月上旬:周一至周日8:00-22:00
3月中旬-11月中旬:周一至周日7:00-23:30
具体营业状态以当天开放情况为准",水车博览园没什么好玩的，但是还是可以来看一看，毕竟这么多水车真的是第一次见，而且还能自己蹬水车！一进园两个喷泉，好好找角度会有彩虹，当然！我这种幸运的人，往回走的时候，一抬眼就看到了！最好是上午来，下午光照更足。
兴隆山自然保护区,4A景区,甘肃省,兰州市,兰州市榆中县兴隆山村91号,0.72,游山访古冬季还能滑雪,40,44,https://imgs.qunarzz.com/sight/p0/201401/24/366b4a70d01d9002f44e33bd9250fe00.jpg_280x200_b4883c92.jpg,1/1-12/31；周一至周日；08:00-17:00开园,用户未点评，系统默认好评。
青城古镇,4A景区,甘肃省,兰州市,兰州市榆中县北部,0.7,感受兰州市郊的传统文化,9,80,https://imgs.qunarzz.com/sight/p0/201403/14/eba22d898a97f2ab077b5835d17badc2.jpg_280x200_8ee77108.jpg,1/1-12/31；夏令时；08:00-18:00开园；（17:30停止入园）,用户未点评，系统默认好评。
兰州黄河游轮,暂未评级,甘肃省,兰州市,兰州市七里河区南滨河东路532号,0,乘坐游船荡漾在母亲河上,39,30,https://imgs.qunarzz.com/sight/p0/1506/71/5c3fc828e3edb23cbafaf3e976d956a8.water.jpg_280x200_844f2c6e.jpg,1/1-12/31；周一至周日；13:00-21:00开园,用户未点评，系统默认好评。
甘肃省博物馆,暂未评级,甘肃省,兰州市,兰州市七里河区西津西路3号,0.8,通过展品了解古丝绸之路,10,182,https://imgs.qunarzz.com/sight/p0/201403/19/93de43b1607b61b542a5f69e09c9a94a.jpg_280x200_a0cca252.jpg,1/1-12/31；周二至周日；09:00-17:00开园；（16:30停止入园）,行李寄存处的工作人员很有问题！本人当时有一个行李箱和背包，那里本来有很多空位可以摆放，所以我就把行李箱放在下面那排，背包就放在中间那排。可是她们不同意，说我的背包一定要摆在竖着的行李箱上面，说是方便辩认！但明明很多时候那些位子大部分都是空着的！至少在我回去拿行李时没有太大差别，所以不会说很难辩认。但背包摆在上面却有掉下来的风险！摆完之后一个戴眼镜的女工作人员就立刻对我的行李喷洒消毒液，然后说进去要带身份证。所以我就回到背包去取，取完之后又在没经我的同意下，再次喷洒瓶子没标明任何字眼的消毒液，而且还喷了很多下！你们就如此随意地去处理客人的物品吗？？最后说了一句要4点前回来取，不然就下班了！明明告示上写着可以存放到4:30。建议大家一定要远离这个寄存处！
兰州水墨丹霞旅游景区,暂未评级,甘肃省,兰州市,甘肃省兰州市永登县树屏镇杏花村,0,兰州水墨丹霞旅游景区地域壮阔，起伏多变，地质奇观密集。这里以红山湾地貌为主，兼有丹霞崖壁、孤峰、幽谷、一线天、风动石等奇,60,116,https://imgs.qunarzz.com/sight/p0/2104/36/368ccbb2cf61be41a3.img.jpg_280x200_8bc28699.jpg,11/01-04/30；周一至周五；09:00-17:00开园；（16:00停止入园）,非常棒，导游细心负责，很壮观
白塔山公园,暂未评级,甘肃省,兰州市,兰州市安宁区北滨河中路白塔山1号,1,登上山顶俯瞰兰州全景,0.6,80,https://imgs.qunarzz.com/sight/p0/1409/22/143d860f7f03d74d2c40156410b9d35f.jpg_280x200_edf19236.jpg,4/20-10/31；周一至周日；06:30-20:00开园；（19:30停止入园）,跟闺蜜的兰州一日游结束啦，非常感谢向博导游的陪同，一路帮我们拍照留念去，而且非常专业，甘肃省博物馆一路讲解的非常清楚，对我们的问题非常耐心的解答，到黄河和中山桥白塔山，一路上为我们讲解历史渊源，帮助我们更深层次的了解兰州这座城市，非常愉快的度过了一天，感谢郭向导，我们很喜欢兰州😋
五泉山公园,暂未评级,甘肃省,兰州市,兰州市城关区五泉南路103号,0,拥有五眼名泉与众多寺庙,9,44,https://imgs.qunarzz.com/sight/p0/1502/76/76f75e63003fabf1.water.jpg_280x200_323a7af6.jpg,1/1-12/31；周一至周日；08:00-18:00开园；（18:00停止入园）,用户未点评，系统默认好评。
兰州极地海洋世界,暂未评级,甘肃省,兰州市,兰州市七里河区建西东路303号（时代·海德堡庄园）,0,观赏各种海洋极地动物,50,134,https://imgs.qunarzz.com/sight/p0/1706/48/481516ec11298b7ba3.water.jpg_280x200_7640bd18.jpg,1/1-12/31；周一至周五；09:30-17:30开园,用户未点评，系统默认好评。
黄河楼,暂未评级,甘肃省,兰州市,兰州市七里河区南滨河中路1501号,0,兰州黄河楼景区位于兰州市七里河区马滩片区。占地面积36545平方米(54.8亩），总建筑面积51685平方米，包括黄河楼,30,34,https://qimgs.qunarzz.com/piao_qsight_provider_piao_qsight_web/0100x120008k09y9b9DC3.jpg_280x200_ba77c56f.jpg,1/1-12/31；周一至周日；10:00-19:00开园；（18:30停止入园）,用户未点评，系统默认好评。
兰州新区长城西部影视城,暂未评级,甘肃省,兰州市,兰州市永登县新区龙首山路（经二路）,0,观赏世界古文明代表性建筑,48,42,https://imgs.qunarzz.com/sight/p0/1804/3a/3ac324179b7a1fcea3.img.jpg_280x200_3e7010f8.jpg,1/1-12/31；周一至周日；全天开放,用户未点评，系统默认好评。
官滩沟,暂未评级,甘肃省,兰州市,兰州市榆中县和平镇南部,0.7,为重要的避暑旅游地,23,73,https://imgs.qunarzz.com/sight/p0/1706/7e/7ee36f47d6ed8635a3.water.jpg_280x200_990a673e.jpg,1/1-12/31；周一至周日；08:00-17:00开园,用户未点评，系统默认好评。
兰州野生动物园,暂未评级,甘肃省,兰州市,兰州市安宁区忠和镇崖川村,0,公园内有羊驼、梅花鹿、小袋鼠、鸵鸟等，游客可以喂食动物，与小动物们近距离互动，此外，游客还可以乘坐公园内的小火车，非常适,88,89,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,1/1-12/31；周一至周日；09:30-17:30开园；（16:30停止入园）,请把这条推给要来兰州野生动物园的人！真的很值得来体验一次，我上次是周内去的，人不多，但园区是真的大，逛了一会儿就累了，可以坐小火车看动物，最好早上去，早上去动物们兴致比较高，下午就吃饱了不理人了。工作人员态度也挺好的，问啥就给我们说，总之是一次很不错的体验啦！还想再去一次！
河口古镇,暂未评级,甘肃省,兰州市,兰州市西固区河口乡河口村,0,参观青砖绿瓦的钟鼓楼,118,6,https://imgs.qunarzz.com/sight/p0/2003/a0/a07ab9320a9e7d1a3.img.jpg_280x200_625d23fb.jpg,具体营业状态以当天开放情况为准,被逼跳车，全程电车游览时间混乱，第一个景点导游带的团的电车不等自己团的人就走。我们没赶上，坐散客车等了半天，坐在便利店（第一个景点巨无聊），到了第二个景点是什么云顶？最高的地方，在车上导游说不推荐去，这个时间太长，结果撞上导游正准备带团走，跟团里的人只有10多个（总共30多），跟上团的人已经看完，我们说还没上去就没跟着直接走，上去看了觉得这是唯一值得看的景点，我们下去的时候明明还有好几个团里的人还在山顶，我们为了赶时间规定集合时间，余下景点一个都没看，到一个地方直接坐另一辆准备出发去下个景点的车，而且我们单独问景点有没有可以直接回去出发的的近点的线路，工作人员都说只能一个景点一个景点等车，疯狂赶路，1点集合时间，到了最后一个景点发现大巴1:30才开，导游疯狂催，怪我们玩的慢，路上还有导游认识的开车的司机，当着一堆散客的面，当时就我一个女孩子，说我跟我伙伴在路上浪不跟团，原话。。我就没这么丢人过，后来快到最后一站导游在电话里一再怪我们说我们是最后两个人，让大家等，说的我们好像十恶不赦，我们看等大巴要很久（当时1:15左右，大巴还有15分钟）就说第二个景点那我们不去了，让大家等我们这么久不好，我们自己打车回去。导游就说万一你们路上出什么事他付不了责任，让我们给他发短信说自愿放弃余下行程。我们下了回到集合点的大巴是2点出头，下了车找打车的地方的时候发现我们的大巴车刚出发（我们是最后两个没到的车在等鬼吗？）。。。。我们自己打车回来花了70多总之就是只看了骆驼上了山顶，余下都没玩疯狂赶路，电车线路混乱，导游在车上说的和实际不一致，说的也很混乱，就随便定个时间。。等车耗时间，根本不知道在干嘛，疯狂受气，被欺骗，景点除了山顶看着还行，别的就是一样的土堆，没什么可以看的，累个半死，晒得不行还很热。花了一堆钱。。。极其差劲，被气死
天斧沙宫,暂未评级,甘肃省,兰州市,兰州市安宁区九合镇北环路天斧砂宫地质公园,0,神斧凿成的沙宫宫殿,7,24,https://imgs.qunarzz.com/sight/p0/201403/10/7581df74acb9d9f929242dd73b249823.jpg_280x200_6a0c21c1.jpg,1/1-12/31；周一至周日；9:00-17:00开园；（17:00停止入园）,跟着师傅游玩一天，非常开心，师傅驾驶技术稳健，车辆宽敞干净，人很负责，强烈推荐陈师傅服务好靠谱便宜
中川牡丹园,暂未评级,甘肃省,兰州市,兰州市永登县中川镇中川机场南大门,0,数百种牡丹芍药争芳斗艳,7,38,https://imgs.qunarzz.com/sight/p0/1805/75/756c16229875d917a3.img.jpg_280x200_a2123ad5.jpg,1/1-12/31；周一至周日；09:00-17:30开园,用户未点评，系统默认好评。
亚欧国际观光体验厅,暂未评级,甘肃省,兰州市,甘肃省兰州市城关区庆阳路149号亚欧国际B1层、1层、54层、55层、58层,0,兰州亚欧国际，为兰州市内高建筑。单体塔楼设计，形象高度313米，其中54-55F为亚欧国际观光体验厅，总建筑面积为256,49.9,6,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,1/1-12/31；周一至周日；09:30-21:30开园,用户未点评，系统默认好评。
兰州海洋公园,暂未评级,甘肃省,兰州市,甘肃省兰州市高新区榆中园区西平路和龙海街交汇处（兰州大名城）,0,兰州海洋公园位于兰州高新园区，总建筑面积22785平方米，场馆共分地上三层、地下一层，总投资2.5亿元人民币，总水体约6,90,38,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,11/1-4/15；周一至周日；10:00-17:00开园,用户未点评，系统默认好评。
水善汤泉（小西湖店）,暂未评级,甘肃省,兰州市,甘肃省兰州市七里河区南滨河中路129号（义顺集团对面）,0,兰州水善汤泉喜湖休闲酒店有限公司（汤泉汗蒸馆）位于兰州市七里河区南滨河中路129号，营业面积3000余平方米。公司主营：,59.9,4,https://imgs.qunarzz.com/sight/p0/2112/f8/f83bd0380b13555ea3.img.jpg_280x200_abc48d2d.jpg,1/1-12/31；周一至周日；全天开放,用户未点评，系统默认好评。
兰山公园,暂未评级,甘肃省,兰州市,兰州市城关区伏直公路皋兰山上,0.8,地势高，尽览城市风光,7,59,https://imgs.qunarzz.com/sight/p0/1409/15/78621f36f54aa6048902aeaed08badea.jpg_280x200_0a0e0b0d.jpg,1/1-12/31；周一至周日；全天开放,暂未评价
雁滩公园,暂未评级,甘肃省,兰州市,甘肃兰州市城关区滩尖子3号,0.78,风景秀丽，是大雁的栖息、居住之地,7,84,https://imgs.qunarzz.com/sight/p0/201312/12/7b5beffb48cd04bf49ebb46df2dd33ec.jpg_280x200_5df58671.jpg,01/01-12/31；8:00-18:30开园,雁滩，越来越热闹了，周围可方便了
兰州文庙,暂未评级,甘肃省,兰州市,兰州北滨河路九州台,0.7,奎星阁的建筑结构，为全国文庙之罕见形制,7,77,https://imgs.qunarzz.com/sight/p0/1507/24/64a6e59e5d29875fc6a9fa2da3cfdf14.water.jpg_280x200_a280e8b6.jpg,暂无,为发入园码，造成很多麻烦，浪费很多时间
兰州植物园,暂未评级,甘肃省,兰州市,兰州市安宁区施家湾西圃1号,0,游览美丽的百合园,7,95,https://imgs.qunarzz.com/sight/p0/201403/10/9aebf396fa4722825085e412e82799fd.jpg_280x200_32a623be.jpg,1/1-12/31；周一至周日；08:00-18:00开园,五一到国庆期间是最漂亮的，可惜冬天一片萧瑟，无处可去
黄河母亲像,暂未评级,甘肃省,兰州市,兰州市七里河区滨河路中段(小西湖公园北侧),0.76,兰州市的标志性雕塑,199,49,https://imgs.qunarzz.com/sight/p0/1411/84/81f352cf51618e0b552167a24dd9f4df.water.jpg_280x200_9bc82dc1.jpg,具体营业状态以当天开放情况为准,第一次来兰州 这座西北城市真的让我太兴奋啦。导游都是当地的 服务很👌🏻 终于炫到了地道的牛肉拉面🍜真香 ，打卡甘肃省博，看到了马踏飞燕还有人形口彩陶瓶 推荐 ～白塔山公园真的可以看到整个兰州～慢游黄河铁桥 母亲像也不错  很棒的一天
黄河铁桥,暂未评级,甘肃省,兰州市,兰州市城关区滨河路中段北侧白塔山下,0.9,兰州市的标志性建筑,99,51,https://imgs.qunarzz.com/sight/p26/201211/09/28d17d7789a6e3ac93835fbb.jpg_280x200_928397e8.jpg,1/1-12/31；周一至周日；全天开放,五星好评，出来玩就需要这样的小团，特别好，玩的很开心，服务特别好，兰州玩的，吃的还是很多的。总体来说体验感不错，以后都报这样的小团。
城隍庙,暂未评级,甘肃省,兰州市,甘肃省兰州市城关区张掖路,0.76,兰州城隍庙在市张掖路。建于宋代，有殿3楹，祀奉汉将军纪信，又名纪信庙，明代重修后改易现名。清乾隆年间（1736—1795,5,31,https://imgs.qunarzz.com/sight/p11/201211/08/e4e4eb643af841a493835fbb.jpg_280x200_1c213a14.jpg,01/01-12/31；9:00-17:00开园,暂未评价
金天观,暂未评级,甘肃省,兰州市,甘肃省兰州市七里河区华林路1号,0.7,金天观在兰州市七里河西津东路，肃庄王建于明建文一年（1400），占地54亩。在此之前，唐为云峰寺，宋为九阳观。因地处城池,7,52,https://imgs.qunarzz.com/sight/p96/201211/03/5dbabf3aa2ded01593835fbb.jpg_280x200_f7f759c8.jpg,01/01-12/31；8:00-17:00开园,暂未评价
兰州水善汤•温泉,暂未评级,甘肃省,兰州市,甘肃省兰州市七里河区武威路108号洪泰伟业广场5 号楼,0,甘肃水善汤·温泉坐落于兰州市七里河区武威路108号，营业面积近10000平方米，是西北地区首家以中国汉唐文化为基础，采用,39,81,https://imgs.qunarzz.com/sight/p0/2207/d2/d210a79c2d963541a3.img.jpg_280x200_2f63b75a.jpg,1/1-12/31；周一至周日；全天开放,暂未评价
猫咪博物馆（兰州中心店）,暂未评级,甘肃省,兰州市,兰州市七里河区兰州中心6楼,0,猫奴必去打卡地，是一家猫咪主题博物馆，在200多平方米的空间，布置唯美怀旧，仿佛走进童话中的城堡。,39,63,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,1/1-12/31；周一至周日；09:00-22:00开园,暂未评价
银河M王国儿童乐园,暂未评级,甘肃省,兰州市,甘肃省兰州市城关区北环东路158号银河国际院内,0,,49.9,70,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,1/1-12/31；周一至周五；11:00-21:30开园,暂未评价
兰山飞越未来极限飞球,暂未评级,甘肃省,兰州市,兰州市城关区兰山公园三台阁台地广场,0,"兰山飞越未来极限飞球，位于兰州市城关区兰山公园三台阁台地广场，项目占地400㎡。

飞越未来极限飞球融合球幕成像，裸",58,83,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/admin/20217/30d54820c6727b9958d585769ab3c5c2.png_280x200_7ef61cce.png,1/1-12/31；周一至周日；09:30-19:00开园,暂未评价
西部恐龙水乐园室内温泉馆,4A景区,甘肃省,兰州市,兰州市新区凤凰山路1555号,0,体验在水中畅玩的快乐,,,https://imgs.qunarzz.com/sight/p0/1707/11/117c70eca99c13e1a3.water.jpg_280x200_2b265570.jpg,1/1-12/31；周一至周五；11:00-17:30开园,用户未点评，系统默认好评。
兰州水车园,暂未评级,甘肃省,兰州市,甘肃省兰州七里河区南滨河东路兰州水车园,0,是滨河路旅游线上的重要一景,,,https://imgs.qunarzz.com/sight/p0/201403/10/24dabda395f66895e9213ff85f6b8679.jpg_280x200_9a18465b.jpg,暂无,哈啊可口可乐了可口可乐了了
兰州石源景区,暂未评级,甘肃省,兰州市,兰州市榆中县和平镇柳沟河高速出口向东1公里,0,奇石百千，雅致淡静的园林,,,https://imgs.qunarzz.com/sight/p0/2204/68/6873c87c49301cb1a3.water.jpg_280x200_baf8218e.jpg,1/1-12/31；周一至周日；09:00-20:00开园,用户未点评，系统默认好评。
